Lokasi,Jam Login,Nama,Email,No Telp,Tahun Lahir,Merk HP,Digital Interest,Tipe Lokasi,Duration,Usia
Jakarta,20:00,Sisar,sssssys@gmail.com,8052803839,1983,Xiaomi,Fashion,Cafe,25,41
Jakarta,13:00,Jeno,jenooo@yahoo.com ,8067406433,1985,Xiaomi,Sport,Cafe,57,39
Bandung,13:00,Yaya,Yaykaaa@yahoo.com,8020710388,1985,Xiaomi,Education,Cafe,97,39
Surabaya,14:00,Axel,axdlots@gmail.com,8096030883,1985,Oppo,Sport,Cafe,132,39
Bekasi,15:00,Sandy,sandyy#@gmail.com,8047046838,1985,Oppo,Sport,Home,42,39
Surabaya,16:00,Kevin,kevin7899@gmail.com,8073856465,1985,Oppo,Fashion,Home,65,39
Surabaya,17:00,Chris,chris9355@gmail.com,8059455319,1985,Oppo,Fashion,Home,75,39
Surabaya,13:00,Govert,govert9985@yahoo.com,8090342146,1985,Oppo,Fashion,Home,91,39
Surabaya,13:00,Siti,siti4064@yahoo.com,8059863726,1985,Oppo,Fashion,Home,102,39
Surabaya,15:00,Shakira,shakira6327@gmail.com,8039102464,1985,Oppo,Fashion,Home,26,39
Surabaya,15:00,Handersen,handersen4409@yahoo.com,8064425987,1985,Oppo,Fashion,Home,102,39
Surabaya,13:00,Bayu,bayu3136@yahoo.com,8089448027,1985,Oppo,Fashion,Home,54,39
Jakarta,13:00,Andastin,andastin6591@gmail.com,8094337269,2003,Oppo,Politic,Home,77,21
Jakarta,14:00,Ferdi,ferdi2912@yahoo.com,8052246262,2003,Samsung,Politic,Home,108,21
Jakarta,15:00,Sasha,sasha4181@yahoo.com,8069443179,2003,Samsung,Politic,Home,34,21
Jakarta,16:00,Sintard,sintard2683@gmail.com,8032991193,2003,iPhone,Politic,Home,45,21
Jakarta,17:00,Veyza,veyza4292@gmail.com,8042247573,2003,iPhone,Music,Home,121,21
Jakarta,18:00,Justin,justin8374@gmail.com,8072692599,2003,iPhone,Music,Office,57,21
Jakarta,19:00,Helin,helin5019@yahoo.com,8019899709,2003,iPhone,Music,Office,38,21
Jakarta,20:00,Fayza,fayza4642@gmail.com,8020856204,2003,iPhone,Music,Office,110,21
Jakarta,21:00,Maul,maul6267@gmail.com,8029350110,2003,iPhone,Music,Office,50,21
Jakarta,22:00,Anisa,anisa7580@gmail.com,8087640317,2003,iPhone,Music,Office,71,21
Jakarta,23:00,Meylisa,meylisa5828@yahoo.com,8018072929,2003,Samsung,Music,Office,132,21
Jakarta,0:00,Riri,riri8409@yahoo.com,8064893459,2003,Samsung,Music,Office,60,21
Jakarta,1:00,Manik,manik3399@gmail.com,8028616953,2008,Oppo,Education,Office,107,16
Jakarta,2:00,Jendra,jendra3739@yahoo.com,8044244749,2009,Samsung,Education,Office,29,15
Jakarta,3:00,Narendra,narendra3165@yahoo.com,8072526001,2009,iPhone,Education,Office,99,15
Jakarta,4:00,Lentera,lentera3280@yahoo.com,8012256099,2009,iPhone,Education,Office,103,15
Jakarta,5:00,Hayam,hayam1157@gmail.com,8048164681,2009,iPhone,Education,Office,129,15
Jakarta,6:00,Janter,janter9084@yahoo.com,8085661852,2009,iPhone,Education,Mall,59,15
Jakarta,7:00,Feby,feby9466@yahoo.com,8082826342,2009,iPhone,Education,Mall,120,15
Jakarta,8:00,Maley,maley4536@yahoo.com,8026216882,2009,iPhone,Education,Mall,82,15
Jakarta,9:00,Sila,sila8724@gmail.com,8050747886,2009,iPhone,Education,Mall,107,15
Jakarta,10:00,Hades,hades2767@gmail.com,8025204226,2009,iPhone,Education,Mall,110,15
Jakarta,11:00,Fritzy,fritzy5933@gmail.com,8044362390,2008,iPhone,Sport,Mall,104,16
Jakarta,12:00,Denzel,denzel8887@yahoo.com,8075199521,1992,iPhone,Sport,Mall,44,32
Jakarta,13:00,Haydar,haydar9916@gmail.com,8049455777,2013,iPhone,Sport,Mall,129,11
Jakarta,14:00,Virat,virat5288@yahoo.com,8071526429,2005,iPhone,Sport,Mall,36,19
Jakarta,15:00,Bubu,bubu3834@yahoo.com,8045374931,1997,iPhone,Sport,Mall,34,27
Jakarta,16:00,Hana,hana2077@gmail.com,8042709416,1995,iPhone,Sport,Mall,147,29
Jakarta,17:00,Hani,hani4349@yahoo.com,8049296250,1992,iPhone,Sport,Office,99,32
Jakarta,18:00,Radefa,radefa5241@gmail.com,8094719792,1993,iPhone,Sport,Office,148,31
Jakarta,19:00,Tiwi,tiwi3487@gmail.com,8048749797,2006,iPhone,Sport,Office,137,18
Jakarta,20:00,Diana,diana9026@gmail.com,8066424351,2007,iPhone,Sport,Office,84,17
Jakarta,21:00,Fander,fander8896@yahoo.com,8013281421,2004,iPhone,Sport,Office,77,20
Jakarta,22:00,Ahkam,ahkam7087@gmail.com,8032786150,1992,iPhone,Sport,Office,51,32
Jakarta,23:00,Hamzah,hamzah4410@yahoo.com,8090157963,2006,iPhone,Sport,Office,112,18
Jakarta,0:00,Ijah,ijah3034@gmail.com,8085305987,1994,iPhone,Sport,Office,97,30
Jakarta,1:00,Azizah,azizah7463@yahoo.com,8068807772,2001,iPhone,Food,Office,93,23
Jakarta,2:00,Rangga,rangga8254@yahoo.com,8016431448,1998,Xiaomi,Food,Office,148,26
Bandung,3:00,Alden,alden7654@yahoo.com,8057872873,1998,Xiaomi,Food,Office,42,26
Bandung,4:00,Victor,victor3786@yahoo.com,8086162368,1998,Xiaomi,Food,Office,95,26
Bandung,5:00,Helena,helena5488@yahoo.com,8053598942,1998,iPhone,Food,Office,94,26
Bandung,6:00,Jayen,jayen4350@gmail.com,8026638793,1998,iPhone,Food,Office,134,26
Bandung,7:00,Harry,harry1461@gmail.com,8044676116,1998,iPhone,Food,Office,48,26
Bandung,8:00,Hermione,hermione7236@gmail.com,8065191699,1998,iPhone,Food,Office,28,26
Bandung,9:00,Jaka,jaka9575@yahoo.com,8027646743,2013,iPhone,Education,Office,26,11
Bandung,10:00,Garel,garel3363@gmail.com,8072263965,2013,iPhone,Education,Office,150,11
Bandung,11:00,Dery,dery5888@gmail.com,8010829417,2013,iPhone,Education,Office,31,11
Bandung,12:00,Asanah,asanah2728@gmail.com,8058564544,2013,iPhone,Education,Office,69,11
Bandung,13:00,Felix,felix4549@gmail.com,8056397270,2013,iPhone,Education,Office,146,11
Aceh,14:00,Andre,andre9909@gmail.com,8053600624,2013,iPhone,Education,Office,29,11
Aceh,15:00,Dayana,dayana8352@gmail.com,8095586094,2013,iPhone,Education,Office,26,11
Aceh,16:00,Faris,faris9038@gmail.com,8088401208,2013,iPhone,Education,Office,96,11
Aceh,17:00,Maya,maya5221@gmail.com,8049703651,2013,Samsung,Education,Office,74,11
Aceh,18:00,Citra,citra8752@yahoo.com,8092799797,2013,Samsung,Education,Office,102,11
Aceh,19:00,Hendrik,hendrik7103@yahoo.com,8010856964,2013,Samsung,Education,Office,101,11
Aceh,20:00,Zubaied,zubaied3950@yahoo.com,8044112196,2013,Samsung,Education,Office,98,11
Aceh,21:00,Tennesy,tennesy7554@yahoo.com,8099974207,2013,Samsung,Education,Office,106,11
Aceh,22:00,Panji,panji4895@yahoo.com,8058826731,2013,Samsung,Education,Cafe,80,11
Aceh,23:00,Juli,juli5501@yahoo.com,8069481743,1996,Samsung,Politic,Cafe,137,28
Aceh,0:00,Jared,jared6048@yahoo.com,8066081871,1996,Samsung,Politic,Cafe,149,28
Bandar Lampung,1:00,Famad,famad1301@gmail.com,8015137323,1996,Samsung,Politic,Cafe,82,28
Bandar Lampung,2:00,Ahmad,ahmad2084@yahoo.com,8051091497,1996,Xiaomi,Politic,Cafe,88,28
Bandar Lampung,3:00,Hanafi,hanafi4977@yahoo.com,8064582663,1996,Xiaomi,Politic,Office,97,28
Bandar Lampung,4:00,Arsyad,arsyad4038@yahoo.com,8086755173,1996,Xiaomi,Politic,Office,44,28
Bandar Lampung,5:00,Jayden,jayden5371@gmail.com,8075243272,1996,iPhone,Politic,Office,135,28
Bandar Lampung,6:00,Rafi,rafi9398@gmail.com,8020528759,2002,iPhone,Food,Office,116,22
Bandar Lampung,7:00,Nagita,nagita1446@gmail.com,8044396343,2002,iPhone,Sport,Office,46,22
Bandar Lampung,8:00,Demian,demian5845@gmail.com,8045766361,2002,iPhone,Sport,Office,107,22
Bandar Lampung,9:00,Risa,risa9144@gmail.com,8049854573,2002,iPhone,Education,Office,104,22
Bandar Lampung,10:00,Nessie,nessie2835@gmail.com,8021992650,2002,iPhone,Food,Cafe,31,22
Bandar Lampung,11:00,Hajer,hajer9156@gmail.com,8061114193,2002,iPhone,Fashion,Home,39,22
Bandar Lampung,12:00,Rom,rom4482@gmail.com,8016357112,2002,iPhone,Fashion,Home,51,22
Bandar Lampung,13:00,Farel,farel9445@gmail.com,8020956582,2002,iPhone,Food,Home,123,22
Bandar Lampung,14:00,Naya,naya8586@yahoo.com,8053734668,2002,iPhone,Food,Home,30,22
Bandar Lampung,15:00,Aza,aza3917@gmail.com,8098494711,2002,Oppo,Food,Home,66,22
Bandar Lampung,16:00,Manda,manda6348@yahoo.com,8079308502,2002,iPhone,Food,Home,91,22
Bandar Lampung,17:00,David,david1874@gmail.com,8031203728,2002,Xiaomi,Food,Home,25,22
Bandar Lampung,18:00,Karel,karel1092@yahoo.com,8053366198,2002,Xiaomi,Food,Home,44,22
Bandar Lampung,19:00,Hudson,hudson2787@gmail.com,8097319990,2002,Xiaomi,Fashion,Home,47,22
Bandar Lampung,20:00,Cinta,cinta6498@gmail.com,8094914055,2002,Xiaomi,Fashion,Home,135,22
Bandar Lampung,16:00,Laura,laura5920@yahoo.com,8075595558,2002,Xiaomi,Fashion,Home,84,22
Bandar Lampung,17:00,Sintya,sintya2448@gmail.com,8092507818,2002,Xiaomi,Fashion,Home,134,22
Bandar Lampung,18:00,Sinta,sinta8161@gmail.com,8055613853,2002,Xiaomi,Fashion,Home,34,22
Bandar Lampung,18:00,Jade,jade9027@gmail.com,8058457447,2002,Xiaomi,Fashion,Home,62,22
Bandar Lampung,19:00,Nadya,nadya1262@gmail.com,8039411406,2002,Xiaomi,Fashion,Home,48,22
Bandar Lampung,20:00,Radefa,radefa1611@gmail.com,8085742418,2002,Oppo,Fashion,Home,148,22
Bandar Lampung,21:00,Radefi,radefi5624@yahoo.com,8071227347,2002,Oppo,Fashion,Home,86,22
Bandar Lampung,22:00,Martha,martha4857@gmail.com,8035249130,2002,Oppo,Fashion,Home,48,22
Bandar Lampung,18:00,Nando,nando5746@yahoo.com,8057171938,2002,iPhone,Sport,Home,132,22
Bandar Lampung,19:00,Maji,maji6794@yahoo.com,8029019030,2002,Samsung,Sport,Home,71,22
Bandar Lampung,20:00,Mathew,mathew3526@yahoo.com,8069470561,2002,Oppo,Sport,Home,125,22
Jakarta,21:00,Martin,martin8208@gmail.com,8044902633,2002,iPhone,Sport,Home,133,22
Jakarta,22:00,Imam,imam4711@yahoo.com,8068944483,2002,iPhone,Sport,Home,45,22
Jakarta,23:00,Jaehyun,jaehyun6823@gmail.com,8035577377,2002,iPhone,Sport,Home,113,22
Jakarta,0:00,Irene,irene3439@gmail.com,8037002190,2002,iPhone,Sport,Home,107,22
Jakarta,1:00,Seulgi,seulgi4782@gmail.com,8024890875,2002,iPhone,Sport,Home,102,22
Jakarta,2:00,Dewi,dewi3694@gmail.com,8021326885,2002,iPhone,Sport,Home,129,22
Jakarta,3:00,Damar,damar8911@yahoo.com,8095245547,2002,iPhone,Sport,Home,48,22
Jakarta,4:00,Henesy,henesy5088@yahoo.com,8043851397,2002,iPhone,Sport,Home,130,22
Jakarta,5:00,Cardy,cardy9011@yahoo.com,8081302613,2015,iPhone,Sport,Home,81,9
Jakarta,6:00,Kamala,kamala3482@yahoo.com,8078504424,2014,iPhone,Sport,Home,113,10
Jakarta,7:00,Dwi,dwi2292@yahoo.com,8034719675,2007,iPhone,Fashion,Home,39,17
Jakarta,8:00,Pia,pia5635@yahoo.com,8090882958,2014,iPhone,Food,Home,47,10
Jakarta,9:00,Amel,amel2107@yahoo.com,8034206461,2000,iPhone,Education,Home,120,24
Jakarta,10:00,Ranti,ranti6624@yahoo.com,8071855255,2000,iPhone,Education,Office,145,24
Padang,11:00,Nita,nita5890@gmail.com,8038134498,2000,iPhone,Education,Home,119,24
Padang,12:00,Asminah,asminah1158@gmail.com,8071016067,2000,Xiaomi,Education,Mall,94,24
Padang,13:00,Fanaza,fanaza5983@yahoo.com,8054158157,2000,Samsung,Education,Mall,75,24
Padang,14:00,Drake,drake7872@yahoo.com,8078046269,2000,Samsung,Education,Mall,67,24
Jambi,15:00,Perkasa,perkasa8556@yahoo.com,8059206919,2000,Samsung,Education,Mall,113,24
Jambi,16:00,Alam,alam1664@gmail.com,8074039145,2000,Samsung,Education,Mall,87,24
Jambi,17:00,Rizki,rizki6382@yahoo.com,8013561499,2000,Samsung,Education,Mall,49,24
Jambi,18:00,Jaenab,jaenab5542@gmail.com,8036268753,2000,Samsung,Music,Mall,147,24
Jambi,19:00,Marni,marni2180@yahoo.com,8060954126,2000,Samsung,Music,Mall,57,24
Jambi,20:00,Ara,ara2536@gmail.com,8095420074,2000,Samsung,Music,Mall,133,24
Jambi,21:00,Sulis,sulis6134@yahoo.com,8064749910,2000,Samsung,Music,Mall,47,24
Jambi,22:00,Caca,caca5265@yahoo.com,8050686654,2000,Samsung,Music,Home,36,24
Jambi,23:00,Fila,fila1075@gmail.com,8010210404,2000,Samsung,Music,Home,116,24
Makassar,0:00,Layla,layla5242@gmail.com,8059480483,2000,Samsung,Music,Home,114,24
Makassar,1:00,Anis,anis1457@gmail.com,8085295077,2000,Samsung,Music,Home,29,24
Makassar,2:00,Sepril,sepril4050@yahoo.com,8029263932,2000,Samsung,Politic,Home,53,24
Makassar,3:00,Kenzi,kenzi5107@gmail.com,8076193708,2000,Samsung,Politic,Home,36,24
Makassar,4:00,Kenzo,kenzo6499@yahoo.com,8091774746,2000,Samsung,Politic,Home,128,24
Makassar,5:00,Kenta,kenta7747@yahoo.com,8034699179,2000,Samsung,Politic,Home,113,24
Makassar,6:00,Dawn,dawn4529@gmail.com,8083631225,2000,Samsung,Politic,Home,125,24
Makassar,19:00,Eric,eric6132@yahoo.com,8030086165,2000,Samsung,Politic,Home,142,24
Makassar,20:00,Lams,lams3488@yahoo.com,8043626755,2000,Samsung,Food,Home,81,24
Bekasi,21:00,Nico,nico3942@yahoo.com,8017944396,2000,iPhone,Food,Home,99,24
Bekasi,22:00,Arya,arya9631@gmail.com,8068318858,2000,iPhone,Food,Home,78,24
Bekasi,18:00,Nanda,nanda7736@yahoo.com,8011106741,2000,iPhone,Food,Home,61,24
Bekasi,19:00,Nandini,nandini2637@yahoo.com,8047371973,2000,iPhone,Food,Home,105,24
Bekasi,20:00,Damini,damini5871@yahoo.com,8088302812,2000,iPhone,Food,Home,35,24
Bekasi,21:00,Tapasya,tapasya4602@gmail.com,8053732773,2000,iPhone,Food,Home,134,24
Bekasi,22:00,Grinda,grinda7350@yahoo.com,8092115889,2000,iPhone,Education,Home,122,24
Bekasi,23:00,Galen,galen6584@gmail.com,8081178616,2000,iPhone,Food,Home,66,24
Bekasi,0:00,Galang,galang4627@yahoo.com,8031667257,2000,iPhone,Sport,Home,77,24
Bekasi,1:00,Kander,kander7405@yahoo.com,8061264745,2002,iPhone,Sport,Home,75,22
Bekasi,2:00,Firman,firman4704@yahoo.com,8038710495,2002,iPhone,Sport,Home,141,22
Bekasi,3:00,Albar,albar7634@yahoo.com,8071528163,2002,iPhone,Sport,Home,83,22
Bekasi,18:00,Rizky,rizky7470@yahoo.com,8013566415,2002,iPhone,Sport,Home,149,22
Bekasi,19:00,Thoriq,thoriq4559@gmail.com,8011153619,2002,iPhone,Sport,Home,50,22
Bekasi,20:00,Royan,royan3562@gmail.com,8049141860,2002,iPhone,Sport,Home,65,22
Bekasi,21:00,Aditya,aditya4482@yahoo.com,8022683849,2002,iPhone,Sport,Home,111,22
Bekasi,22:00,Adit,adit2303@yahoo.com,8045340021,2002,iPhone,Sport,Home,87,22
Bekasi,19:00,Rijal,rijal3720@gmail.com,8013093265,2002,iPhone,Sport,Home,113,22
Bekasi,19:00,Zaky,zaky3300@gmail.com,8070594689,2002,Oppo,Sport,Home,106,22
Bekasi,19:00,Firja,firja5610@gmail.com,8046562391,2002,Samsung,Sport,Office,116,22
Bekasi,18:00,Ihsan,ihsan2814@yahoo.com,8075731319,2002,Samsung,Sport,Cafe,87,22
Bekasi,18:00,Rama,rama7280@yahoo.com,8087094378,2002,Oppo,Sport,Cafe,51,22
Bekasi,18:00,Azan,azan9897@gmail.com,8021419493,2002,iPhone,Education,Cafe,113,22
Bekasi,13:00,Abi,abi4525@yahoo.com,8070472810,2002,iPhone,Education,Cafe,55,22
Bekasi,14:00,Abraham,abraham2809@gmail.com,8020497212,2002,iPhone,Education,Cafe,66,22
Bekasi,15:00,Isma,isma1201@gmail.com,8018569298,2002,iPhone,Education,Cafe,92,22
Bekasi,16:00,Zanet,zanet1578@yahoo.com,8016111682,2002,iPhone,Education,Cafe,144,22
Bekasi,17:00,Pranet,pranet5173@yahoo.com,8025877325,2002,Oppo,Education,Cafe,147,22
Bekasi,18:00,Paragon,paragon4473@gmail.com,8049919777,2002,iPhone,Education,Cafe,81,22
Bekasi,19:00,Dwiki,dwiki6055@yahoo.com,8012193574,2011,Samsung,Education,Cafe,121,13
Bekasi,20:00,Jumadi,jumadi6820@gmail.com,8010228008,2011,Samsung,Education,Cafe,39,13
Bekasi,21:00,Toni,toni4523@yahoo.com,8067091916,1996,Xiaomi,Fashion,Cafe,86,28
Bekasi,22:00,Juned,juned1442@gmail.com,8044947339,2008,Xiaomi,Fashion,Home,143,16
Bekasi,23:00,Melati,melati1950@gmail.com,8013358793,2014,Xiaomi,Education,Home,75,10
Bekasi,0:00,Madun,madun4129@yahoo.com,8055286916,2008,Oppo,Education,Home,41,16
Bekasi,1:00,Liam,liam9977@gmail.com,8045208385,1994,Oppo,Politic,Home,34,30
Jakarta,2:00,Payne,payne1868@gmail.com,8044974455,1992,Xiaomi,Education,Home,74,32
Jakarta,3:00,Zayn,zayn3910@yahoo.com,8086643841,2009,iPhone,Food,Home,81,15
Jakarta,4:00,Ron,ron7888@gmail.com,8034592867,1998,iPhone,Politic,Home,119,26
Jakarta,5:00,Ramly,ramly9018@gmail.com,8014330844,1991,iPhone,Food,Home,87,33
Jakarta,6:00,Husen,husen5444@yahoo.com,8099832064,2015,iPhone,Politic,Home,35,9
Jakarta,13:00,Arman,arman9259@yahoo.com,8075782584,1995,iPhone,Sport,Home,25,29
Jakarta,14:00,Ardi,ardi3710@yahoo.com,8067699355,2015,iPhone,Food,Home,81,9
Jakarta,15:00,Arrafah,arrafah2746@gmail.com,8036241482,2001,iPhone,Food,Home,75,23
Jakarta,16:00,Bunaya,bunaya8892@yahoo.com,8041371797,2014,iPhone,Sport,Home,85,10
Jakarta,17:00,Citrus,citrus5759@gmail.com,8058407450,2010,iPhone,Politic,Home,88,14
Jakarta,18:00,Anggraini,anggraini3652@yahoo.com,8025244517,1996,iPhone,Food,Home,66,28
Jakarta,19:00,Bunga,bunga2471@yahoo.com,8077468190,2014,iPhone,Education,Home,28,10
Jakarta,20:00,Anjeli,anjeli5578@gmail.com,8056172004,2014,iPhone,Sport,Home,129,10
Jakarta,21:00,Anna,anna2454@yahoo.com,8012197843,2007,iPhone,Sport,Home,78,17
Jakarta,22:00,Safitri,safitri9961@gmail.com,8091401692,2013,iPhone,Food,Home,89,11
Jakarta,23:00,Robiah,robiah6368@yahoo.com,8028706887,2014,iPhone,Politic,Home,111,10
Jakarta,0:00,Tabita,tabita7997@yahoo.com,8045837085,1998,iPhone,Sport,Home,29,26
Jakarta,1:00,Rafera,rafera8104@yahoo.com,8067802795,2003,iPhone,Fashion,Home,92,21
Jakarta,2:00,Jihan,jihan8424@yahoo.com,8094506777,2012,iPhone,Fashion,Home,120,12
Jakarta,3:00,Cindy,cindy1530@gmail.com,8055197813,1992,iPhone,Food,Home,51,32
Jakarta,4:00,Candy,candy1289@yahoo.com,8092531461,2014,iPhone,Education,Home,138,10
Jakarta,5:00,Suningsih,suningsih9031@gmail.com,8086674644,2005,iPhone,Fashion,Home,67,19
Jakarta,6:00,Amelia,amelia8192@yahoo.com,8051074806,2002,iPhone,Politic,Office,51,22
Jakarta,7:00,Laras,laras2124@gmail.com,8069600400,2010,iPhone,Politic,Office,136,14
Jakarta,8:00,Oktavia,oktavia9628@gmail.com,8075206925,1991,iPhone,Politic,Office,41,33
Jakarta,9:00,Tarisa,tarisa9194@yahoo.com,8075325703,1990,iPhone,Politic,Office,118,34
Cirebon,10:00,Safira,safira9576@yahoo.com,8088248155,2004,iPhone,Education,Office,133,20
Cirebon,11:00,Catur,catur2225@yahoo.com,8090720528,2012,Oppo,Education,Office,128,12
Cirebon,12:00,Kusuma,kusuma1520@gmail.com,8016504950,1999,Oppo,Politic,Office,27,25
Cirebon,20:00,Putri,putri6360@gmail.com,8080288059,2012,iPhone,Education,Office,66,12
Cirebon,21:00,Radithya,radithya4534@yahoo.com,8094320499,1995,Oppo,Education,Office,50,29
Cirebon,22:00,Qisto,qisto4072@yahoo.com,8098086933,2001,iPhone,Food,Office,75,23
Manado,23:00,Nadiro,nadiro3693@yahoo.com,8092843192,2005,Samsung,Politic,Office,91,19
Manado,0:00,Ghifari,ghifari4144@gmail.com,8091158069,2000,Samsung,Education,Office,103,24
Manado,1:00,Ghani,ghani4374@yahoo.com,8080309767,2009,Samsung,Food,Office,116,15
Manado,2:00,Ramadan,ramadan7613@yahoo.com,8034312274,1996,Samsung,Education,Office,90,28
Manado,3:00,Ramdan,ramdan6467@gmail.com,8096968834,1996,Xiaomi,Food,Office,136,28
Kupang,4:00,Saputra,saputra4016@yahoo.com,8031882447,2001,Xiaomi,Politic,Office,107,23
Kupang,5:00,Maulana,maulana9111@gmail.com,8031102015,2014,Xiaomi,Fashion,Office,103,10
Kupang,6:00,Pawel,pawel6515@gmail.com,8080597574,1993,Xiaomi,Food,Office,101,31
Kupang,7:00,Kanza,kanza2161@yahoo.com,8040447865,1991,Oppo,Education,Office,129,33
Kupang,8:00,Nutfah,nutfah3371@gmail.com,8015421058,1992,Samsung,Food,Office,66,32
Kupang,9:00,Umi,umi1636@yahoo.com,8075593445,1992,Oppo,Food,Office,64,32
Kupang,10:00,Kartika,kartika7302@yahoo.com,8037268180,2007,Xiaomi,Sport,Office,63,17
Kupang,11:00,Ayu,ayu4900@yahoo.com,8035405052,1992,Samsung,Food,Office,90,32
Kupang,12:00,Christin,christin4645@yahoo.com,8059262925,2007,Xiaomi,Food,Office,41,17
Kupang,13:00,Seruny,seruny4976@gmail.com,8093480740,1994,Oppo,Fashion,Office,52,30
Kupang,14:00,Intan,intan1104@gmail.com,8012356810,2004,Oppo,Sport,Office,51,20
Kupang,15:00,Stefani,stefani2723@yahoo.com,8051564125,1996,Oppo,Food,Office,81,28
Kupang,16:00,Mutiara,mutiara2788@yahoo.com,8023797258,2002,Oppo,Education,Office,40,22
Jakarta,17:00,Desi,desi8781@yahoo.com,8013208366,2001,Oppo,Food,Office,116,23
Jakarta,18:00,Anggi,anggi7042@yahoo.com,8023679136,1993,Oppo,Sport,Office,88,31
Jakarta,19:00,Nisa,nisa9978@gmail.com,8074922766,2014,Oppo,Politic,Office,130,10
Jakarta,20:00,Nisalia,nisalia3964@gmail.com,8056070431,2015,Samsung,Sport,Office,51,9
Jakarta,21:00,Irgi,irgi2474@yahoo.com,8062030294,2001,iPhone,Fashion,Office,137,23
Jakarta,22:00,Mardiana,mardiana3428@gmail.com,8087354581,1998,iPhone,Sport,Office,46,26
Jakarta,23:00,Ulfah,ulfah9576@gmail.com,8077846807,2014,iPhone,Food,Office,133,10
Jakarta,0:00,Okta,okta6568@gmail.com,8043116739,1996,iPhone,Fashion,Office,122,28
Jakarta,1:00,Nauli,nauli6545@gmail.com,8079028488,2006,iPhone,Fashion,Office,150,18
Jakarta,2:00,Riska,riska8152@gmail.com,8037983953,1992,iPhone,Sport,Office,77,32
Jakarta,3:00,Sintia,sintia6748@gmail.com,8088482220,2014,iPhone,Politic,Office,66,10
Jakarta,4:00,Eka,eka3409@gmail.com,8010736003,1994,iPhone,Sport,Cafe,65,30
Jakarta,5:00,Tantri,tantri6692@yahoo.com,8083218713,1999,iPhone,Fashion,Cafe,37,25
Jakarta,6:00,Gilang,gilang5735@gmail.com,8032111827,1997,iPhone,Education,Cafe,36,27
Jakarta,7:00,Agi,agi9920@yahoo.com,8021406793,1993,iPhone,Fashion,Cafe,120,31
Jakarta,8:00,Daeng,daeng7411@yahoo.com,8081327018,2004,iPhone,Education,Cafe,75,20
Jakarta,9:00,Devi,devi8452@gmail.com,8054457362,2002,iPhone,Food,Cafe,124,22
Jakarta,10:00,Dani,dani2793@gmail.com,8017892460,2014,iPhone,Education,Cafe,46,10
Jakarta,11:00,Arif,arif4393@gmail.com,8038290467,2004,iPhone,Politic,Cafe,113,20
Jakarta,12:00,Tao,tao4150@yahoo.com,8099804836,2002,iPhone,Politic,Cafe,129,22
Jakarta,13:00,Garel,garel4478@gmail.com,8040951755,2004,iPhone,Politic,Cafe,86,20
Jakarta,14:00,Radhit,radhit2481@yahoo.com,8045477282,2011,iPhone,Politic,Cafe,131,13
Jakarta,15:00,Rizky,rizky3947@gmail.com,8035572765,1995,iPhone,Education,Mall,80,29
Jakarta,13:00,Adit,adit5882@yahoo.com,8029295885,1994,iPhone,Education,Mall,26,30
